1,2,3,4,5,6,7,8,9,10
2021-10-14 11:09:27, , , ,READY,STARTED,20211014110927,,,
2021-10-14 13:43:59, , , ,SHEETCLEANING,STARTED,20211014134359,,,
2021-10-14 13:45:48, , , ,SHEETCLEANING,STARTED,20211014134548,,,
2021-10-14 13:46:21, , , ,SHEETCLEANING,STARTED,20211014134621,,,
2021-10-14 13:52:23, , , ,SHEETCLEANING,STARTED,20211014135223,,,
2021-10-14 13:52:53, , , ,NORMALCLEANING,STARTED,20211014135253,,,
2021-10-14 13:54:05, , , ,SHEETCLEANING,STARTED,20211014135405,,,
2021-10-14 14:00:40, , , ,SHEETCLEANING,STARTED,20211014140040,,,
2021-10-14 14:00:47, , , ,SHEETCLEANING,STARTED,20211014140047,,,
2021-10-14 14:04:59, , , ,SHEETCLEANING,STARTED,20211014140459,,,
2021-10-14 14:07:44, , , ,SHEETCLEANING,STARTED,20211014140744,,,
2021-10-14 14:10:32, , , ,SHEETCLEANING,STARTED,20211014141032,,,
2021-10-14 14:10:39, , , ,NORMALCLEANING,STARTED,20211014141039,,,
2021-10-14 14:51:42, , , ,SHEETCLEANING,STARTED,20211014145142,,,
2021-10-14 14:53:44, , , ,SHEETCLEANING,STARTED,20211014145344,,,
2021-10-14 14:53:52, , , ,SHEETCLEANING,STARTED,20211014145352,,,
2021-10-14 14:54:00, , , ,SHEETCLEANING,STARTED,20211014145400,,,
2021-10-14 14:54:08, , , ,SHEETCLEANING,STARTED,20211014145408,,,
2021-10-14 15:05:05, , , ,SHEETCLEANING,STARTED,20211014150505,,,
2021-10-14 15:05:15, , , ,SHEETCLEANING,STARTED,20211014150515,,,
2021-10-14 15:14:15, , , ,SHEETCLEANING,STARTED,20211014151415,,,
2021-10-14 15:16:28, , , ,SHEETCLEANING,STARTED,20211014151628,,,
2021-10-14 15:19:37, , , ,SHEETCLEANING,STARTED,20211014151937,,,
2021-10-14 15:20:16, , , ,SHEETCLEANING,STARTED,20211014152016,,,
2021-10-14 16:06:16, , , ,NORMALCLEANING,STARTED,20211014160616,,,
2021-10-14 16:11:11, , , ,NORMALCLEANING,STARTED,20211014161111,,,
2021-10-14 16:13:47, , , ,NORMALCLEANING,STARTED,20211014161347,,,
2021-10-14 16:15:05, , , ,NORMALCLEANING,STARTED,20211014161505,,,
2021-10-14 16:27:53, , , ,RUNNING,STARTED,20211014162753,,,
2021-10-14 16:28:11, , , ,READY,STARTED,20211014162811,,,
2021-10-14 16:28:45, , , ,RUNNING,STARTED,20211014162845,,,
2021-10-14 18:05:23, , , ,RUNNING,STARTED,20211014180523,,,
2021-10-14 18:07:16, , , ,IDLE/STOP,STARTED,20211014180716,,,
2021-10-14 18:07:23, , , ,READY,STARTED,20211014180723,,,
2021-10-14 18:16:15, , , ,RUNNING,STARTED,20211014181615,,,
2021-10-14 20:01:57, , , ,READY,STARTED,20211014200157,,,
2021-10-14 20:10:54, , , ,RUNNING,STARTED,20211014201054,,,
2021-10-14 20:19:21, , , ,RUNNING,STARTED,20211014201921,,,
2021-10-14 20:22:25, , , ,RUNNING,STARTED,20211014202225,,,
2021-10-14 20:25:15, , , ,RUNNING,STARTED,20211014202515,,,
2021-10-14 20:38:12, , , ,RUNNING,STARTED,20211014203812,,,
2021-10-14 20:38:57, , , ,RUNNING,STARTED,20211014203857,,,
2021-10-14 21:39:06, , , ,ERROR,STARTED,20211014213906,0, ,CLEANERVACUUM
2021-10-14 21:41:00, , , ,READY,STARTED,20211014214100,,,
2021-10-14 21:41:07, , , ,RUNNING,STARTED,20211014214107,,,
2021-10-14 21:58:41, , , ,IDLE/STOP,STARTED,20211014215841,,,
2021-10-14 21:58:48, , , ,READY,STARTED,20211014215848,,,
2021-10-14 23:42:11, , , ,NORMALCLEANING,STARTED,20211014234211,,,
2021-10-14 23:49:31, , , ,NORMALCLEANING,STARTED,20211014234931,,,
2021-10-14 23:50:14, , , ,READY,STARTED,20211014235014,,,
2021-10-14 23:51:08, , , ,RUNNING,STARTED,20211014235108,,,
2021-10-14 23:51:32, , , ,ERROR,STARTED,20211014235132,2012, ,L/FDIRECTION
2021-10-14 23:54:41, , , ,RUNNING,STARTED,20211014235441,,,
2021-10-15 00:35:04, , , ,ERROR,STARTED,20211015003504,2055, ,UNLOADERADSORB
2021-10-15 01:15:05, , , ,READY,STARTED,20211015011505,,,
2021-10-15 01:15:14, , , ,RUNNING,STARTED,20211015011514,,,
2021-10-15 02:20:47, , , ,IDLE/STOP,STARTED,20211015022047,,,
2021-10-15 02:20:54, , , ,READY,STARTED,20211015022054,,,
2021-10-15 02:41:34, , , ,RUNNING,STARTED,20211015024134,,,
2021-10-15 03:34:21, , , ,RUNNING,STARTED,20211015033421,,,
2021-10-15 04:10:37, , , ,RUNNING,STARTED,20211015041037,,,
2021-10-15 04:19:27, , , ,RUNNING,STARTED,20211015041927,,,
2021-10-15 04:26:06, , , ,RUNNING,STARTED,20211015042606,,,
2021-10-15 04:26:51, , , ,RUNNING,STARTED,20211015042651,,,
2021-10-15 04:44:06, , , ,RUNNING,STARTED,20211015044406,,,
2021-10-15 05:28:59, , , ,RUNNING,STARTED,20211015052859,,,
2021-10-15 06:11:28, , , ,IDLE/STOP,STARTED,20211015061128,,,
2021-10-15 06:11:40, , , ,READY,STARTED,20211015061140,,,
2021-10-15 06:32:11, , , ,NORMALCLEANING,STARTED,20211015063211,,,
2021-10-15 06:36:25, , , ,READY,STARTED,20211015063625,,,
2021-10-15 06:36:44, , , ,RUNNING,STARTED,20211015063644,,,
2021-10-15 07:07:10, , , ,RUNNING,STARTED,20211015070710,,,
2021-10-15 08:07:25, , , ,RUNNING,STARTED,20211015080725,,,
2021-10-15 08:12:21, , , ,RUNNING,STARTED,20211015081221,,,
2021-10-15 08:22:07, , , ,IDLE/STOP,STARTED,20211015082207,,,
2021-10-15 08:22:14, , , ,READY,STARTED,20211015082214,,,
2021-10-15 08:28:24, , , ,RUNNING,STARTED,20211015082824,,,
2021-10-15 09:25:11, , , ,RUNNING,STARTED,20211015092511,,,
2021-10-15 09:39:00, , , ,RUNNING,STARTED,20211015093900,,,
2021-10-15 10:13:48, , , ,IDLE/STOP,STARTED,20211015101348,,,
2021-10-15 10:14:02, , , ,READY,STARTED,20211015101402,,,
2021-10-15 10:16:03, , , ,RUNNING,STARTED,20211015101603,,,
2021-10-15 10:32:17, , , ,IDLE/STOP,STARTED,20211015103217,,,
2021-10-15 10:36:11, , , ,READY,STARTED,20211015103611,,,
2021-10-15 10:37:05, , , ,NORMALCLEANING,STARTED,20211015103705,,,
2021-10-15 10:41:42, , , ,NORMALCLEANING,STARTED,20211015104142,,,
2021-10-15 10:43:41, , , ,READY,STARTED,20211015104341,,,
2021-10-15 10:43:59, , , ,RUNNING,STARTED,20211015104359,,,
2021-10-15 10:50:57, , , ,RUNNING,STARTED,20211015105057,,,
2021-10-15 10:52:29, , , ,RUNNING,STARTED,20211015105229,,,
2021-10-15 11:43:51, , , ,RUNNING,STARTED,20211015114351,,,
2021-10-15 12:10:55, , , ,IDLE/STOP,STARTED,20211015121055,,,
2021-10-15 12:11:03, , , ,READY,STARTED,20211015121103,,,
2021-10-15 12:12:03, , , ,RUNNING,STARTED,20211015121203,,,
2021-10-15 13:46:05, , , ,RUNNING,STARTED,20211015134605,,,
2021-10-15 13:58:43, , , ,READY,STARTED,20211015135843,,,
2021-10-15 14:05:10, , , ,SHEETCLEANING,STARTED,20211015140510,,,
2021-10-15 14:05:17, , , ,SHEETCLEANING,STARTED,20211015140517,,,
2021-10-15 14:05:27, , , ,SHEETCLEANING,STARTED,20211015140527,,,
2021-10-15 14:10:41, , , ,SHEETCLEANING,STARTED,20211015141041,,,
2021-10-15 14:11:02, , , ,NORMALCLEANING,STARTED,20211015141102,,,
